ProductKey,Item Code,Product Name,Product SubCategory,Product Category,Product Cost,Product Price,Product Size,Product Line,Product Model Name,Product Status
1,AR-5381,Adjustable Race,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
2,BA-8327,Bearing Ball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
3,BE-2349,BB Ball Bearing,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
4,BE-2908,Headset Ball Bearings,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
5,BL-2036,Blade,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
6,CA-5965,LL Crankarm,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
7,CA-6738,ML Crankarm,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
8,CA-7457,HL Crankarm,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
9,CB-2903,Chainring Bolts,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
10,CN-6137,Chainring Nut,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
11,CR-7833,Chainring,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
12,CR-9981,Crown Race,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
13,CS-2812,Chain Stays,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
14,DC-8732,Decal 1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
15,DC-9824,Decal 2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
16,DT-2377,Down Tube,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
17,EC-M092,Mountain End Caps,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
18,EC-R098,Road End Caps,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
19,EC-T209,Touring End Caps,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
20,FE-3760,Fork End,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
21,FH-2981,Freewheel,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
22,FW-1000,Flat Washer 1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
23,FW-1200,Flat Washer 6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
24,FW-1400,Flat Washer 2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
25,FW-3400,Flat Washer 9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
26,FW-3800,Flat Washer 4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
27,FW-5160,Flat Washer 3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
28,FW-5800,Flat Washer 8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
29,FW-7160,Flat Washer 5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
30,FW-9160,Flat Washer 7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
31,FC-3654,Fork Crown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
32,FC-3982,Front Derailleur Cage,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
33,FL-2301,Front Derailleur Linkage,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
34,GP-0982,Guide Pulley,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
35,GT-0820,LL Grip Tape,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
36,GT-1209,ML Grip Tape,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
37,GT-2908,HL Grip Tape,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
38,HJ-1213,Thin-Jam Hex Nut 9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
39,HJ-1220,Thin-Jam Hex Nut 10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
40,HJ-1420,Thin-Jam Hex Nut 1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
41,HJ-1428,Thin-Jam Hex Nut 2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Current
